id;external_id;parent_id;title;page_title;description;meta_title;meta_description;image;image_alt;display_in_search;display_in_menu;is_filter
55664;;55663;Sekání trávy & údržba;Sekání trávy & údržba;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a03677772.png;;;1;
55665;;55663;Řez a tvarování dřevin;Řez a tvarování dřevin;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a0c85b7f6.png;;;1;
55666;;55663;Péče o záhony;Péče o záhony;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a109bde0a.png;;;1;
55667;;55663;Zahradní architekt;Zahradní architekt;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a13be3e3d.png;;;1;
55668;;55663;Úklid listí & bioodpad;Úklid listí & bioodpad;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a16d7b856.png;;;1;
55669;;55663;Pokládka dlažby & chodníky;Pokládka dlažby & chodníky;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a1bc1da90.png;;;1;
55670;;55663;Pergoly & ploty & drobné stavby;Pergoly & ploty & drobné stavby;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a1ef05486.png;;;1;
55671;;55663;Zimní údržba;Zimní údržba;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68d2a266ef574.png;;;1;
55805;;55663;Studny, čističky & voda na pozemku;Studny, čističky & voda na pozemku;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9_68e3c34d2cab5.png;;;;
55675;;0;Krása;Krása;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10.png;;;;
55676;;55675;Permanentní. make-up;Permanentní make-up;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68d40322e6ec7.png;;;1;
55677;;55675;Kosmetika & pleť;Kosmetika & pleť;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68d40359bce35.png;;;1;
55678;;55675;Řasy;Řasy;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68d4037ac0097.png;;;1;
55679;;55675;Kadeřnictví & barber;Kadeřnictví & barber;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68d403b53d6d5.png;;;1;
55680;;55675;Vizážistka & líčení;Vizážistka & líčení;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68d404143736d.png;;;1;
